data,ticker,nome,setor,industria,preco_atual,market_cap,pl,pl_forward,pvp,psr,ev_ebitda,roe,roa,margem_liquida,margem_bruta,margem_ebitda,dividend_yield,payout_ratio,divida_patrimonio,lpa,lpa_forward,beta,volume_medio
2026-08-27,SMTO3,SAO MARTINHOON      NM,Basic Materials,Specialty Chemicals,18.63,6013265920.0,7.604081,9.652849,0.81528157,0.846629,4.322,0.11342,0.03453,0.114250004,0.258,0.43493,1.17,0.2745,165.268,2.45,1.93,-0.193,1934270
2026-08-24,SOJA3,BOA SAFRA   ON      NM,Basic Materials,Agricultural Inputs,6.66,939472256.0,22.965517,6.856366,0.7057327,0.35526565,9.57,0.04632,0.02466,0.0089300005,0.12087,0.07085,6.88,1.0341,146.554,0.29,0.97136,,778576
2026-08-25,SOJA3,BOA SAFRA   ON      NM,Basic Materials,Agricultural Inputs,6.89,971916480.0,23.758621,7.0931473,0.73010486,0.36753458,9.781,0.04632,0.02466,0.0089300005,0.12087,0.07085,6.59,1.0341,146.554,0.29,0.97136,,770028
2026-08-27,SOJA3,BOA SAFRA   ON      NM,Basic Materials,Agricultural Inputs,6.7,945114752.0,23.103449,6.8975453,0.70997137,0.35739937,9.811,0.04632,0.02466,0.0089300005,0.12087,0.07085,6.37,1.0341,146.554,0.29,0.97136,,771325
2026-08-24,SUZB3,SUZANO S.A. ON      NM,Basic Materials,Paper & Paper Products,46.32,57045893120.0,7.050228,6.3517222,1.3066659,1.1927946,6.485,0.17604999,0.03154,0.1708,0.29057,0.41513002,2.49,0.1707,199.419,6.57,7.29251,0.023,6134682
2026-08-25,SUZB3,SUZANO S.A. ON      NM,Basic Materials,Paper & Paper Products,46.34,57070522368.0,7.0532722,6.354465,1.3072301,1.1933095,6.569,0.17604999,0.03154,0.1708,0.29057,0.41513002,2.42,0.1707,199.419,6.57,7.29251,0.023,6189396
2026-08-27,SUZB3,SUZANO S.A. ON      NM,Basic Materials,Paper & Paper Products,46.15,56836530176.0,7.024353,6.328411,1.3018703,1.188417,6.558,0.17604999,0.03154,0.1708,0.29057,0.41513002,2.42,0.1707,199.419,6.57,7.29251,0.023,6224856
2026-08-24,SYNE3,SYN PROP TECON      NM,Real Estate,Real Estate Services,3.59,547993536.0,9.972221,11.966666,0.79092306,1.6257076,11.327,0.04381,0.03076,0.16156,0.55615,0.47799,71.3,7.2436,50.207,0.36,0.3,0.272,361140
2026-08-25,SYNE3,SYN PROP TECON      NM,Real Estate,Real Estate Services,3.69,563258048.0,10.25,12.299999,0.8129544,1.6709921,11.299,0.04381,0.03076,0.16156,0.55615,0.47799,71.9,7.2436,50.207,0.36,0.3,0.272,362607
2026-08-27,SYNE3,SYN PROP TECON      NM,Real Estate,Real Estate Services,3.6,549520000.0,9.999999,11.999999,0.7931262,1.6302361,11.394,0.04381,0.03076,0.16156,0.55615,0.47799,69.95,7.2436,50.207,0.36,0.3,0.272,364400
2026-08-24,TAEE11,TAESA       UNT EDJ N2,Utilities,Utilities - Regulated Electric,37.78,39045627904.0,39.76842,8.724589,1.6352146,8.707,9.573,0.20858999,0.068959996,0.36476,0.61164004,0.55325,10.32,0.0,136.483,0.95,4.33029,-0.004,1819537
2026-08-25,TAEE11,TAESA       UNT EDJ N2,Utilities,Utilities - Regulated Electric,38.86,40161812480.0,40.479168,8.973995,1.6819599,8.955904,9.602,0.20858999,0.068959996,0.36476,0.61164004,0.55325,10.26,0.0,136.483,0.96,4.33029,-0.004,1830060
2026-08-27,TAEE11,TAESA       UNT EDJ N2,Utilities,Utilities - Regulated Electric,38.94,40244490240.0,39.333332,8.99247,1.6854224,8.974341,9.752,0.20858999,0.068959996,0.36476,0.61164004,0.55325,9.97,0.0,136.483,0.99,4.33029,-0.004,1800625
2026-08-24,TEND3,TENDA       ON  ED  NM,Real Estate,Real Estate - Development,31.02,3804395008.0,6.5720344,4.556752,2.4707289,0.7939818,5.296,0.406,0.07182,0.12081,0.32345,0.16493,4.69,0.2611,78.655,4.72,6.80748,0.424,2532965
2026-08-25,TEND3,TENDA       ON  ED  NM,Real Estate,Real Estate - Development,33.43,4099965440.0,7.0826273,4.90437,2.6626842,0.8556677,5.277,0.406,0.07182,0.12081,0.32345,0.16493,4.71,0.2611,78.655,4.72,6.81637,0.424,2547919
2026-08-27,TEND3,TENDA       ON  ED  NM,Real Estate,Real Estate - Development,32.06,3931944192.0,6.7923737,4.7033834,2.5535643,0.82060146,5.438,0.406,0.07182,0.12081,0.32345,0.16493,4.37,0.2611,78.655,4.72,6.81637,0.424,2590148
2026-08-24,TFCO4,TRACK FIELD PN      N2,Consumer Cyclical,Apparel Retail,12.65,1919732992.0,13.457446,8.322369,3.4069483,1.7695284,8.856,0.26393,0.15277,0.13231,0.56788,0.22587,2.44,0.3375,30.236,0.94,1.52,0.155,570176
2026-08-25,TFCO4,TRACK FIELD PN      N2,Consumer Cyclical,Apparel Retail,12.96,1966777856.0,13.787234,8.526316,3.490439,1.7521235,75.634,0.25722,0.1603,0.13096,0.56685,0.22744,2.69,0.3388,27.898,0.94,1.52,,571358
2026-08-27,TFCO4,TRACK FIELD PN      N2,Consumer Cyclical,Apparel Retail,12.82,1945531776.0,13.638298,8.434211,3.4527335,1.7331963,76.644,0.25722,0.1603,0.13096,0.56685,0.22744,2.63,0.3388,27.898,0.94,1.52,,583039
2026-08-24,TGMA3,TEGMA       ON      NM,Industrials,Trucking,34.7,2288040704.0,9.012987,6.830709,2.301519,0.913052,6.22,0.25561002,0.14786,0.10135999,0.18755,0.14718,14.49,0.9974,22.558,3.85,5.08,0.156,215379
2026-08-25,TGMA3,TEGMA       ON      NM,Industrials,Trucking,35.2,2321009664.0,9.142858,6.929134,2.334682,0.92620844,6.278,0.25561002,0.14786,0.10135999,0.18755,0.14718,14.35,0.9974,22.558,3.85,5.08,0.156,216604
2026-08-27,TGMA3,TEGMA       ON      NM,Industrials,Trucking,35.39,2333537792.0,9.192208,6.9665356,2.3472838,0.93120784,6.367,0.25561002,0.14786,0.10135999,0.18755,0.14718,14.15,0.9974,22.558,3.85,5.08,0.156,221664
2026-08-24,TIMS3,TIM         ON      NM,Communication Services,Telecom Services,18.58,44381474816.0,10.322223,8.7926855,1.8174704,1.6195987,4.919,0.17254,0.07748,0.15785,0.54575,0.41502997,8.62,0.88199997,65.949,1.8,2.11312,0.114,7149339
2026-08-25,TIMS3,TIM         ON      NM,Communication Services,Telecom Services,18.74,44763660288.0,10.411111,8.8684025,1.8331214,1.6335456,4.955,0.17254,0.07748,0.15785,0.54575,0.41502997,8.54,0.88199997,65.949,1.8,2.11312,0.114,7227896
2026-08-27,TIMS3,TIM         ON      NM,Communication Services,Telecom Services,18.74,44763660288.0,10.411111,8.8684025,1.8331214,1.6335456,4.988,0.17254,0.07748,0.15785,0.54575,0.41502997,8.47,0.88199997,65.949,1.8,2.11312,0.114,7328838
2026-08-24,TOTS3,TOTVS       ON      NM,Technology,Software - Application,31.92,18200958976.0,21.0,15.083855,3.3522367,2.761203,14.878,0.17014,0.07394,0.21629,0.70824,0.21874,2.58,0.4468,92.106,1.52,2.11617,0.348,6372056
2026-08-25,TOTS3,TOTVS       ON      NM,Technology,Software - Application,32.75,18674229248.0,21.546053,15.476073,3.4394033,2.8330014,14.775,0.17014,0.07394,0.21629,0.70824,0.21874,2.6,0.4468,92.106,1.52,2.11617,0.348,6333601
2026-08-27,TOTS3,TOTVS       ON      NM,Technology,Software - Application,32.6,18588698624.0,21.447369,15.4051895,3.4236503,2.8200257,15.045,0.17014,0.07394,0.21629,0.70824,0.21874,2.53,0.4468,92.106,1.52,2.11617,0.348,6237882
2026-08-24,TTEN3,3TENTOS     ON      NM,Basic Materials,Agricultural Inputs,11.04,5524862464.0,,5.4925375,1.1036688,0.3024164,18.806,0.121350005,0.017380001,0.03194,0.14756,0.02736,3.3,0.1302,103.287,-105102.71,2.01,0.127,1665360
2026-08-25,TTEN3,3TENTOS     ON      NM,Basic Materials,Agricultural Inputs,11.46,5735047680.0,,5.701493,1.1456562,0.3139214,18.556,0.121350005,0.017380001,0.03194,0.14756,0.02736,3.38,0.1302,103.287,-105102.71,2.01,0.127,1664696
2026-08-27,TTEN3,3TENTOS     ON      NM,Basic Materials,Agricultural Inputs,11.16,5584915456.0,,5.552239,1.1156652,0.30570355,18.676,0.121350005,0.017380001,0.03194,0.14756,0.02736,3.25,0.1302,103.287,-105102.71,2.01,0.127,1665679
2026-08-24,TUPY3,TUPY        ON      NM,Industrials,Metal Fabrication,14.96,1961951104.0,,5.2862935,0.8572574,0.20952071,7.841,-0.28198,0.01312,-0.08258,0.107939996,0.052470002,,0.0,171.506,-5.85,2.82996,0.024,827860
2026-08-25,TUPY3,TUPY        ON      NM,Industrials,Metal Fabrication,15.35,2013098240.0,,5.4241047,0.87960577,0.21498282,7.889,-0.28198,0.01312,-0.08258,0.107939996,0.052470002,,0.0,171.506,-5.85,2.82996,0.024,830788
2026-08-27,TUPY3,TUPY        ON      NM,Industrials,Metal Fabrication,15.03,1971131264.0,,5.311029,0.86126864,0.21050109,7.993,-0.28198,0.01312,-0.08258,0.107939996,0.052470002,,0.0,171.506,-5.85,2.82996,0.024,807515
2026-08-24,UGPA3,ULTRAPAR    ON      NM,Energy,Oil & Gas Refining & Marketing,34.72,36942716928.0,10.585366,12.69846,2.2529364,0.24104911,5.407,0.19804001,0.09726,0.02256,0.08392,0.059609998,5.78,0.3966,97.688,3.28,2.73419,0.257,8643910
2026-08-25,UGPA3,ULTRAPAR    ON  ED  NM,Energy,Oil & Gas Refining & Marketing,33.62,35772293120.0,10.25,12.296145,2.1815586,0.23341216,5.424,0.19804001,0.09726,0.02256,0.08392,0.059609998,5.76,0.3966,97.688,3.28,2.73419,0.257,8790881
2026-08-27,UGPA3,ULTRAPAR    ON  ED  NM,Energy,Oil & Gas Refining & Marketing,33.46,35602051072.0,10.20122,12.237628,2.1711764,0.23230134,5.295,0.19804001,0.09726,0.02256,0.08392,0.059609998,5.95,0.3966,97.688,3.28,2.73419,0.257,8780839
2026-08-24,UNIP6,UNIPAR      PNB,Basic Materials,Chemicals,58.88,6572312576.0,26.16889,11.130435,3.5095665,1.2557523,10.41,0.107650004,0.04476,0.05093,0.26674,0.16420001,17.23,4.5269,184.54,2.25,5.29,0.277,153507
2026-08-25,UNIP6,UNIPAR      PNB,Basic Materials,Chemicals,58.12,6487479296.0,25.83111,10.986768,3.4642663,1.2395436,10.384,0.107650004,0.04476,0.05093,0.26674,0.16420001,17.29,4.5269,184.54,2.25,5.29,0.277,154344
2026-08-27,UNIP6,UNIPAR      PNB,Basic Materials,Chemicals,56.21,6274280960.0,24.982222,10.625709,3.35042,1.1988083,10.037,0.107650004,0.04476,0.05093,0.26674,0.16420001,17.51,4.5269,184.54,2.25,5.29,0.277,157014
2026-08-24,USIM5,USIMINAS    PNA     N1,Basic Materials,Steel,7.12,8764311552.0,,6.2232323,0.4223514,0.35366073,5.164,-0.08073,0.01642,-0.09363,0.098179996,0.08282,,0.0,27.334,-1.91,1.1441,1.321,12405610
2026-08-25,USIM5,USIMINAS    PNA     N1,Basic Materials,Steel,6.97,8579670528.0,,6.092125,0.41345355,0.34621003,5.505,-0.08073,0.01642,-0.09363,0.098179996,0.08282,,0.0,27.334,-1.91,1.1441,1.321,12587595
2026-08-27,USIM5,USIMINAS    PNA     N1,Basic Materials,Steel,7.13,8776622080.0,,6.231973,0.4229446,0.35415748,5.511,-0.08073,0.01642,-0.09363,0.098179996,0.08282,,0.0,27.334,-1.91,1.1441,1.321,12197296
2026-08-24,VALE3,VALE        ON  EDJ NM,Basic Materials,Other Industrial Metals & Mining,77.13,328246951936.0,29.665384,9.378092,1.669336,1.5052435,5.228,0.041149996,0.07915,0.04755,0.34924,0.35463002,8.35,1.5505,54.603,2.6,8.224487,0.748,17212010
2026-08-25,VALE3,VALE        ON      NM,Basic Materials,Other Industrial Metals & Mining,78.7,334928510976.0,30.622568,9.568985,1.7033157,1.5358832,5.344,0.041149996,0.07915,0.04755,0.34924,0.35463002,8.12,1.5505,54.603,2.57,8.224487,0.748,17551337
2026-08-27,VALE3,VALE        ON      NM,Basic Materials,Other Industrial Metals & Mining,78.45,333864566784.0,30.406977,9.507158,1.697905,1.5310043,5.416,0.041149996,0.07915,0.04755,0.34924,0.35463002,7.96,1.5505,54.603,2.58,8.251677,0.748,17670471
2026-08-24,VAMO3,VAMOS       ON      NM,Industrials,Rental & Leasing Services,2.82,3445308160.0,10.071428,4.7187963,1.1543185,0.55599755,3.986,0.10701,0.07316,0.050970003,0.49792,0.60323,5.11,0.5011,483.858,0.28,0.59761,0.218,12480340
2026-08-25,VAMO3,VAMOS       ON      NM,Industrials,Rental & Leasing Services,3.01,3677438976.0,10.75,5.03673,1.2320917,0.59345835,4.012,0.10701,0.07316,0.050970003,0.49792,0.60323,4.97,0.5011,483.858,0.28,0.59761,0.218,12493918
2026-08-27,VAMO3,VAMOS       ON      NM,Industrials,Rental & Leasing Services,3.05,3726308608.0,10.892857,5.103663,1.248465,0.6013449,4.074,0.10701,0.07316,0.050970003,0.49792,0.60323,4.65,0.5011,483.858,0.28,0.59761,0.218,12552284
2026-08-24,VBBR3,VIBRA       ON      NM,Consumer Cyclical,Specialty Retail,33.86,40503771136.0,7.967059,10.381567,1.8582953,0.1985732,5.465,0.22621,0.09709,0.02479,0.06453,0.051620003,5.71,0.367,92.73,4.25,3.26155,0.145,8604193
2026-08-25,VBBR3,VIBRA       ON      NM,Consumer Cyclical,Specialty Retail,34.09,40778899456.0,8.021176,10.364348,1.8709182,0.19992204,5.38,0.22621,0.09709,0.02479,0.06453,0.051620003,5.84,0.367,92.73,4.25,3.28916,0.145,8624431
