data,ticker,preco_atual,target_low,target_mean,target_median,target_high,upside_pct,recommendation_key,recommendation_mean,num_analistas
2026-08-24,SBFG3,8.18,14.0,16.11111,16.0,20.0,0.969573349633252,strong_buy,1.44444,9.0
2026-08-25,SBFG3,8.51,14.0,16.11111,16.0,20.0,0.8931974148061106,strong_buy,1.44444,9.0
2026-08-27,SBFG3,8.31,14.0,16.11111,16.0,20.0,0.9387617328519855,strong_buy,1.44444,9.0
2026-08-24,SBSP3,23.86,23.8,34.24133,34.0,40.0,0.4350934618608548,buy,1.5625,15.0
2026-08-25,SBSP3,24.69,23.8,34.24133,34.0,40.0,0.3868501417577965,buy,1.5625,15.0
2026-08-27,SBSP3,25.06,23.8,34.24133,34.0,40.0,0.3663739026336792,buy,1.5625,15.0
2026-08-24,SEER3,11.75,12.8,16.32857,16.0,20.5,0.3896655319148936,buy,1.85714,7.0
2026-08-25,SEER3,12.03,12.8,16.32857,16.0,20.5,0.3573208645054031,buy,1.85714,7.0
2026-08-27,SEER3,11.81,12.8,16.32857,16.0,20.5,0.38260541913632506,buy,1.85714,7.0
2026-08-24,SIMH3,6.24,8.5,13.67778,12.0,22.0,1.1919519230769229,buy,2.11111,9.0
2026-08-25,SIMH3,6.56,8.5,13.67778,12.0,22.0,1.0850274390243904,buy,2.11111,9.0
2026-08-27,SIMH3,6.46,8.5,13.67778,12.0,22.0,1.1173034055727555,buy,2.11111,9.0
2026-08-24,SLCE3,15.74,14.5,17.80909,17.0,23.0,0.1314542566709022,hold,2.90909,11.0
2026-08-25,SLCE3,15.91,14.5,17.80909,17.0,23.0,0.1193645505971088,hold,2.90909,11.0
2026-08-27,SLCE3,16.29,14.5,17.80909,17.0,23.0,0.09325291589932494,hold,2.90909,11.0
2026-08-24,SMFT3,17.6,25.0,31.34615,32.0,38.0,0.7810312499999998,strong_buy,1.30769,13.0
2026-08-25,SMFT3,17.45,25.0,31.34615,32.0,38.0,0.7963409742120346,strong_buy,1.30769,13.0
2026-08-27,SMFT3,17.3,25.0,31.34615,32.0,38.0,0.8119161849710983,strong_buy,1.30769,13.0
2026-08-24,SMTO3,19.27,15.0,20.34,21.0,25.0,0.0555267254800206,hold,2.8,10.0
2026-08-25,SMTO3,18.46,15.0,20.34,21.0,25.0,0.1018418201516793,hold,2.8,10.0
2026-08-27,SMTO3,18.63,15.0,20.34,21.0,25.0,0.09178743961352653,hold,2.8,10.0
2026-08-24,SOJA3,6.66,6.5,10.0,10.0,12.0,0.5015015015015014,hold,2.71429,7.0
2026-08-25,SOJA3,6.89,6.5,10.0,10.0,12.0,0.451378809869376,hold,2.71429,7.0
2026-08-27,SOJA3,6.7,6.5,10.0,10.0,12.0,0.4925373134328357,hold,2.71429,7.0
2026-08-24,SUZB3,46.32,53.0,65.78235,66.0,75.0,0.4201716321243522,strong_buy,1.41176,17.0
2026-08-25,SUZB3,46.34,53.0,65.78235,66.0,75.0,0.4195586965904183,strong_buy,1.41176,17.0
2026-08-27,SUZB3,46.15,53.0,65.78235,66.0,75.0,0.4254030335861321,strong_buy,1.29412,17.0
2026-08-24,SYNE3,3.59,9.1,9.1,9.1,9.1,1.5348189415041782,none,,1.0
2026-08-25,SYNE3,3.69,9.1,9.1,9.1,9.1,1.4661246612466123,none,,1.0
2026-08-27,SYNE3,3.6,9.1,9.1,9.1,9.1,1.5277777777777777,none,,1.0
2026-08-24,TAEE11,37.78,30.0,37.76,37.0,44.88,-0.0005293806246692,underperform,3.76923,13.0
2026-08-25,TAEE11,38.86,30.0,37.76,37.0,44.88,-0.0283067421513124,underperform,3.76923,13.0
2026-08-27,TAEE11,38.94,30.0,37.76,37.0,44.88,-0.030303030303030276,underperform,3.76923,13.0
2026-08-24,TEND3,31.02,37.0,45.20833,44.0,58.0,0.4573929722759509,strong_buy,1.25,12.0
2026-08-25,TEND3,33.43,37.0,45.20833,44.0,58.0,0.3523281483697276,strong_buy,1.25,12.0
2026-08-27,TEND3,32.06,37.0,45.20833,44.0,58.0,0.4101163443543354,strong_buy,1.25,12.0
2026-08-24,TFCO4,12.65,18.0,19.3,19.0,20.5,0.5256916996047432,buy,1.66667,5.0
2026-08-25,TFCO4,12.96,18.0,19.3,19.0,20.5,0.4891975308641976,buy,1.66667,5.0
2026-08-27,TFCO4,12.82,18.0,19.3,19.0,20.5,0.5054602184087365,buy,1.66667,5.0
2026-08-24,TGMA3,34.7,43.5,44.6,44.6,45.7,0.2853025936599422,none,,2.0
2026-08-25,TGMA3,35.2,43.5,44.6,44.6,45.7,0.2670454545454546,none,,2.0
2026-08-27,TGMA3,35.39,43.5,44.6,44.6,45.7,0.2602430064990111,none,,2.0
2026-08-24,TIMS3,18.58,20.0,24.12857,23.25,30.0,0.2986313240043059,hold,2.6,14.0
2026-08-25,TIMS3,18.74,20.0,24.12857,23.25,30.0,0.2875437566702241,hold,2.6,14.0
2026-08-27,TIMS3,18.74,20.0,24.12857,23.25,30.0,0.28754375667022414,hold,2.6,14.0
2026-08-24,TOTS3,31.92,36.5,48.38462,47.0,61.0,0.5158088972431076,strong_buy,1.46154,13.0
2026-08-25,TOTS3,32.75,36.5,48.38462,47.0,61.0,0.4773929770992366,strong_buy,1.46154,13.0
2026-08-27,TOTS3,32.6,36.5,48.38462,47.0,61.0,0.48419079754601224,strong_buy,1.46154,13.0
2026-08-24,TTEN3,11.04,17.0,21.50909,21.6,26.6,0.9482871376811596,strong_buy,1.27273,11.0
2026-08-25,TTEN3,11.46,17.0,21.50909,21.6,26.6,0.8768839441535776,strong_buy,1.27273,11.0
2026-08-27,TTEN3,11.16,17.0,21.50909,21.6,26.6,0.9273378136200716,strong_buy,1.27273,11.0
2026-08-24,TUPY3,14.96,13.0,18.66667,18.0,35.0,0.2477720588235292,none,,9.0
2026-08-25,TUPY3,15.35,13.0,18.66667,18.0,35.0,0.2160697068403909,none,,9.0
2026-08-27,TUPY3,15.03,13.0,18.66667,18.0,35.0,0.24196074517631416,none,,9.0
2026-08-24,UGPA3,34.72,25.0,34.54667,34.0,43.0,-0.0049922235023041,buy,2.125,15.0
2026-08-25,UGPA3,33.62,25.0,34.54667,34.0,43.0,0.0275630577037477,buy,2.125,15.0
2026-08-27,UGPA3,33.46,25.0,34.99333,35.0,43.0,0.0458257621040048,buy,2.0,15.0
2026-08-24,UNIP6,58.88,58.0,64.0,64.0,70.0,0.0869565217391303,none,,2.0
2026-08-25,UNIP6,58.12,58.0,64.0,64.0,70.0,0.1011699931176874,none,,2.0
2026-08-27,UNIP6,56.21,58.0,64.0,64.0,70.0,0.13858743995730305,none,,2.0
2026-08-24,USIM5,7.12,5.0,8.8,8.5,14.0,0.2359550561797754,buy,2.42857,14.0
2026-08-25,USIM5,6.97,5.0,8.8,8.5,14.0,0.2625538020086084,buy,2.42857,14.0
2026-08-27,USIM5,7.13,5.0,8.8,8.5,14.0,0.23422159887798055,buy,2.42857,14.0
2026-08-24,VALE3,77.13,59.89056,88.13227,86.87819,108.672516,0.1426457928173214,buy,2.30769,12.0
2026-08-25,VALE3,78.7,59.77211,87.957954,86.70636,108.45758,0.1176360101651843,buy,2.30769,12.0
2026-08-27,VALE3,78.45,59.791855,87.987015,86.73501,108.493416,0.12156806883365201,buy,2.30769,12.0
2026-08-24,VAMO3,2.82,3.5,4.81538,4.8,7.0,0.7075815602836881,buy,2.07692,13.0
2026-08-25,VAMO3,3.01,3.5,4.81538,4.8,7.0,0.599794019933555,buy,2.07692,13.0
2026-08-27,VAMO3,3.05,3.5,4.81538,4.8,7.0,0.5788131147540985,buy,2.07692,13.0
2026-08-24,VBBR3,33.86,27.0,38.825,39.5,47.0,0.1466331955109274,buy,1.5625,16.0
2026-08-25,VBBR3,34.09,27.0,38.825,39.5,47.0,0.1388970372543267,buy,1.5625,16.0
2026-08-27,VBBR3,33.61,27.0,39.15625,40.0,47.0,0.16501785182981266,buy,1.6875,16.0
2026-08-24,VIVA3,21.6,24.0,31.85714,32.0,37.0,0.4748675925925925,buy,1.57143,14.0
2026-08-25,VIVA3,22.07,24.0,31.85714,32.0,37.0,0.4434589941096512,buy,1.57143,14.0
2026-08-27,VIVA3,22.7,24.0,31.85714,32.0,37.0,0.4033982378854626,buy,1.57143,14.0
2026-08-24,VIVT3,29.42,30.5,37.44667,37.0,50.0,0.2728303874915021,hold,2.8,15.0
2026-08-25,VIVT3,30.0,30.5,37.44667,37.0,50.0,0.2482223333333333,hold,2.8,15.0
2026-08-27,VIVT3,30.06,30.5,37.44667,37.0,50.0,0.24573087159015294,hold,2.8,15.0
2026-08-24,VLID3,17.33,,,,,,none,,
2026-08-25,VLID3,17.53,,,,,,none,,
2026-08-27,VLID3,17.48,,,,,,none,,
2026-08-24,VTRU3,13.42,15.0,19.4125,20.0,22.0,0.4465350223546946,buy,1.75,8.0
2026-08-25,VTRU3,13.82,15.0,19.4125,20.0,22.0,0.4046671490593343,buy,1.75,8.0
2026-08-27,VTRU3,13.57,15.0,19.4125,20.0,22.0,0.4305453205600591,buy,1.75,8.0
2026-08-24,VULC3,13.55,20.0,22.83333,22.5,26.0,0.6851166051660516,none,,6.0
2026-08-25,VULC3,13.61,20.0,22.83333,22.5,26.0,0.6776877296105805,none,,6.0
2026-08-27,VULC3,13.37,20.0,22.83333,22.5,26.0,0.7078032909498879,none,,6.0
2026-08-24,WEGE3,49.07,42.6,55.3,54.5,70.0,0.1269614835948644,buy,2.0,16.0
2026-08-25,WEGE3,49.58,42.6,55.3,54.5,70.0,0.1153691004437273,buy,2.0,16.0
2026-08-27,WEGE3,50.42,42.6,55.3,54.5,70.0,0.09678698928996421,buy,2.0,16.0
2026-08-24,YDUQ3,8.88,10.0,16.0625,16.0,23.0,0.8088400900900898,buy,1.75,12.0
2026-08-25,YDUQ3,8.74,9.5,15.97917,16.0,23.0,0.8282803203661326,buy,1.75,12.0
2026-08-27,YDUQ3,8.62,9.5,15.97917,16.0,23.0,0.8537320185614852,buy,1.75,12.0
